lambda1_v,lambda0_w,psnr,ssim
0.07,0.0,31.151233673095703,0.663654088973999
0.07,0.01,32.54231262207031,0.7335716485977173
0.07,0.02,32.52735900878906,0.7382803559303284
0.07,0.03,32.37126922607422,0.7353252172470093
0.07,0.04,32.19258499145508,0.7301512956619263
0.07,0.05,32.015708923339844,0.7243656516075134
0.07,0.06,31.849592208862305,0.7189512252807617
0.07,0.07,31.701480865478516,0.7137818932533264
0.07,0.08,31.56654930114746,0.7088813781738281
0.07,0.09,31.444721221923828,0.7042009830474854
0.07,0.1,31.337331771850586,0.6999145150184631
0.07,0.11,31.244384765625,0.6962583065032959
0.07,0.12,31.168615341186523,0.6931353807449341
0.07,0.13,31.10721206665039,0.6904170513153076
0.07,0.14,31.05156707763672,0.6879105567932129
0.07,0.15,31.002609252929688,0.6856563091278076
0.07,0.16,30.962724685668945,0.6838250160217285
0.07,0.17,30.93069839477539,0.6823821067810059
0.07,0.18,30.90439796447754,0.6812601685523987
0.07,0.19,30.880592346191406,0.6803629398345947
0.07,0.2,30.857627868652344,0.6795262098312378
0.08,0.0,31.151233673095703,0.663654088973999
0.08,0.01,32.54231262207031,0.7335716485977173
0.08,0.02,32.52735900878906,0.7382803559303284
0.08,0.03,32.370994567871094,0.7353206872940063
0.08,0.04,32.19126510620117,0.7301409244537354
0.08,0.05,32.01478958129883,0.7244004011154175
0.08,0.06,31.845016479492188,0.7189178466796875
0.08,0.07,31.69396209716797,0.7136126756668091
0.08,0.08,31.554773330688477,0.7085387110710144
0.08,0.09,31.42251205444336,0.7035815715789795
0.08,0.1,31.30609893798828,0.6990153193473816
0.08,0.11,31.206642150878906,0.6951597929000854
0.08,0.12,31.121334075927734,0.691831111907959
0.08,0.13,31.048709869384766,0.6888437271118164
0.08,0.14,30.98387908935547,0.6860990524291992
0.08,0.15,30.925537109375,0.6835631728172302
